Company Name,Job Title,Location,Location-2,Base Salary,Job Description
Connectivity Source |T-Mobile Premium Retailer,newT-Mobile Retail District Manager,Summerville, ,N/A,"
The District Sales Manager is a senior leadership position responsible for leading 5+ or more retail locations and 30+ total employees including Wireless Sales…
"
OpenMind,Director of Education,Remote, ,N/A,"
In this role, you will play a critical role in the creation of our educational tools and advancing our thought leadership agenda.
"
Harris Teeter,newCheese Master,Mount Pleasant, ,N/A,"
The associate must regularly lift and/or move up to 30 pounds [occasionally lift up to 50 pounds] and reaches from 6-72 inches.
"
Prince William County Public Schools,"INVESTIGATOR, EQUITY OFFICE",Prince William County, ,N/A,"
The work involves exercise of judgment, accountability, and discretion.
This position shall be responsible for investigating reports and complaints of…
"
BookNook,BookNook Online Tutor,Remote in United States+1 location, ,N/A,"
Tutors will be on the front lines of closing the early-learning gap, working directly with K – 8 students in live, synchronous, online tutoring sessions.
"
H2B Positions for November 2022 - May 2023,H2B Opportunities for Winter Season October/November 2022 to...,Boca Raton, ,Estimated $29.1K – $36.9K a year,"
Room Attendants - in and out of country.
Servers - in and out of country.
Maintenance - in and out of country.
"
"JCPenney Customer Care Center (Columbus, OH)",Customer Service Representative - Full & Part-Time Available...,Remote in Ohio+1 location, ,N/A,"
Other benefits begin on day 31 of employment.
Certain Health and Welfare benefits (medical and dental) begin on day one of employment; other benefits (vision,…
"
US Air Mobility Command,Library Aid,Charleston AFB, ,N/A,"
Male applicants born after December 31, 1959 must be registered for Selective Service.
Shelves books, magazines, and other library materials ensuring all…
"
Hudson Nissan of Charleston,newCar Washer/Detailer,Charleston, ,N/A,"
Employee development through training and advancement opportunities.
Employee discounts on products & services.
Applies dressing on tires and tire wells.
"
US Air Mobility Command,newCook,Charleston AFB, ,N/A,"
Male applicants born after December 31, 1959 must be registered for Selective Service.
A. Cooking - Prepares a full range of nutritious food for approximately…
"
Medical University of South Carolina,4/14 (G),Charleston, ,N/A,"
Under general supervision and leadership of the Continuous Virtual Monitoring leadership team, the Virtual Monitoring Technician provides continuous monitoring…
"
US Air Mobility Command,newChild and Youth Program Assistant,Charleston AFB, ,N/A,"
Male applicants born after December 31, 1959 must be registered for Selective Service.
The incumbent will serve as a Child and Youth Program Assistant (CYPA) in…
"
US Air Mobility Command,Laborer,Charleston AFB, ,N/A,"
Male applicants born after December 31, 1959 must be registered for Selective Service.
Performs simple golf cart maintenance, (i.e., replenishes fuel/charge…
"
Majorel,Talent Acquisition Processor,+3 locationsRemote, ,N/A,"
The Talent Acquisition Processor conducts functions associated with the screening and onboarding of agents.
May assist with orientation functions as required.
"
US Defense Commissary Agency,newStore Worker,Guam+63 locations, ,N/A,"
Male applicants born after December 31, 1959 must be registered with the Selective Service System or exempt from registration.
"
Mediterranean Shipping Company,Charleston - Claims and P&I Representative,Mount Pleasant, ,N/A,"
The successful candidate will work within the Cargo Claims Department to assist with handling various tasks under the supervision of the Legal Department.
"
US Air Mobility Command,Food Service Worker,Charleston AFB, ,N/A,"
Male applicants born after December 31, 1959 must be registered for Selective Service.
Prepares/slices, seasons and pans meat/chicken for frying/cooking.
"
Mediterranean Shipping Company,Charleston - Export VIP Representative,Mount Pleasant, ,N/A,"
The successful candidate will work within the company to ensure all aspects of the Export process are handled efficiently, accurately and effectively within the…
"
US Defense Commissary Agency,Sales Store Checker,Goose Creek, ,N/A,"
Male applicants born after December 31, 1959 must be registered with the Selective Service System by the announcement closing date or exempt from registration.
"
Hudson Nissan of Charleston,newDetailer,Charleston, ,Estimated $23.9K – $30.3K a year,"
Employee development through training and advancement opportunities.
Employee discounts on products & services.
Replaces missing or defective small parts.
"
Franke at Seaside,Certified Nursing Assistant Weekend work 24 paid for 32,Mount Pleasant, ,Estimated $27.6K – $35K a year,"
Franke at Seaside, a senior community in Mount Pleasant, SC is seeking an experienced CNA to work the 7p-7a every Saturday and Sunday weekend shift (24 hours)…
"
Zaxby's,newKitchen team member,North Charleston, ,N/A,"
Ability to work 32 to 40 hours per week.
Full-time and Part-time jobs available!
This position is classified as non-exempt and reports to the Assistant Manager…
"
Epic Games,Game Tester,Cary, ,Estimated $57.5K – $72.9K a year,"
You'll love this role if you're an innovative problem-solver who loves to ask the tough questions; you should be willing and excited to constantly push your own…
"
Hudson Automotive Group,Insurance Claims Administrator,Charleston, ,Estimated $38K – $48.2K a year,"
Employee development through training and advancement opportunities.
Employee discounts on products & services.
"
Come Back Shack,Terrific Team Member Full-Time,North Charleston, ,N/A,"
Experienced Full-Time (32+ hrs/wk) w/ Restrictions $14.
Experienced Full-Time No Restrictions $15.
Full Time (35+ hours/week) Benefits offer:
"
Patrick Properties Hospitality Group,newSales Associate,Charleston, ,N/A,"
Reports To: Director of Sales and PPHG Sales Manager.
The Sales Associate will support all aspects of the sales department, providing direct sales support to…
"
Patrick Properties Hospitality Group,Operations Associate,Charleston, ,N/A,"
The Operations Associate will assist the Director of Operations with overall operations including, but not limited to, ordering, scheduling, and staffing…
"
Byrider,Automotive Technicians,North Charleston, ,N/A,"
Up to $25.00 per hour based on experience (Not flat rate).
Up to $1,000.00 signing bonus.
Extra monthly bonus up to $500.00.
Great benefits & paid time off.
"
SK Designz,newRetail Sales Associate,Charleston, ,N/A,"
Come join our team - part time and full time shifts available.
High school or equivalent (Preferred).
Retail Associates & Cashiers: 1 year (Preferred).
"
Aldi,"newFull-Time Warehouse Associate - $1,500 SIGN-ON BONUS",Greensboro, ,N/A,"
Our warehouse operations make sure that products are properly received, selected and delivered to our stores for our ever-growing number of customers to enjoy.
"
Epic Games,Game Support specialist,Cary, ,Estimated $35.5K – $44.9K a year,"
We're looking for a Gameplay Support Specialist to own the player experience when contacting Epic Games for help with Fornite and all related topics, including…
"
Osmose Utility Services Inc,Utility Pole Inspection Foreman,Alabama+52 locations, ,N/A,"
$26 to $32 per hour based on Foreman level (after training) plus an opportunity for weekly production bonuses determined by individual initiative and crew…
"
Infosys BPM Limited,newPlan Provision Specialist,Remote, ,N/A,"
Job Type: Full-time Remote.
To develop knowledge of Client Relationship Group, retirement plan products and services, the overall financial markets, and the…
"
Service Solar LLC,Solar Technician,Charleston, ,N/A,"
Lift and maneuver a tall ladder up to 32 feet.
Our team specializes in removal and reinstallation of systems for insurance claims, new roofs, or maintenance…
"
Uline,Warehouse Associate - 1st Shift,Philadelphia, ,N/A,"
From $25 to $32 per hour.
Hours: Monday - Friday: 10:30 AM to 7 PM, other flexible shifts available.
As a Warehouse Associate / Forklift Operator, work…
"
LANXESS,Chemical Operator,Charleston, ,N/A,"
LANXESS is a leading specialty chemicals company with sales of EUR 6.1 billion in 2020 and about 14,200 employees in 33 countries.
What we can offer you:
"
Uline,Material Handler,Buford, ,N/A,"
From $25 to $33 per hour.
705 Braselton Industrial Blvd, Braselton, GA 30517.
Uline: Where hard work and hustle are valued and rewarded.
"
OWENS CORNING,Production Assistant-Packer,North Charleston, ,N/A,"
Leveraging the talents of 19,000 employees in 33 countries, Owens Corning provides innovative products and sustainable solutions that address energy efficiency,…
"
Smoothie King,newTeam Member,Charleston, ,N/A,"
Smoothie King has grown to include over 1,100 units operating in 33 states, the Caymans, Trinidad, and the Republic of Korea.
"
South Carolina Ports Authority,Terminal Security Officer,Mount Pleasant, ,N/A,"
In accordance with 33 CFR, has knowledge through training and shows proficiency with security measures outlined in 105.210.
High school diploma or equivalent.
"
Ideal Image Development Corporation,newAesthetics Consultant Remote (Part-Time: Nights and Weekends...,Texas+18 locations, ,Estimated $63.1K – $79.9K a year,"
We are the nation’s largest and leading MedSpa, with over 160 locations across 33 states and Canada, and rapidly growing.
Why join us at Ideal Image:
"
Area Scouts™,ALL SPORTS ATHLETE EVALUATOR (29483),Remote in Summerville, ,N/A,"
Youth Athlete Injuries in 2021 has increased EVERYONE's health care costs, in excess of $33 BILLION PER YR!
BASEBALL, SOFTBALL, FOOTBALL, VOLLEYBALL, LACROSSE,…
"
Paragon Revenue Group,newPart Time Medical Customer Service Specialist,Remote in Concord, ,N/A,"
33% base pay growth potential after three years.
Do you need a career that can adapt to this changing world?
Join our team and build your career with value and…
"
Charleston Marriott,Event Planning Manager,Charleston, ,N/A,"
Employing more than 2,000 hospitality professionals, the company currently owns and operates 33 hotels with over 6,450 guestrooms, operating under such well…
"
Delta Dental Ins.,newPeople Experience Strategist - Remote,Remote, ,Estimated $53.1K – $67.3K a year,"
Delta Dental of California, Delta Dental of New York, Inc., Delta Dental of Pennsylvania and Delta Dental Insurance Company, together with our affiliate…
"
Area Scouts™,Baseball Athlete Evaluator (29445),Remote in Goose Creek, ,N/A,"
Youth Athlete Injuries in 2021 has increased EVERYONE's health care costs, in excess of $33 BILLION PER YR!
BASEBALL, SOFTBALL, FOOTBALL, VOLLEYBALL, LACROSSE,…
"
Uline,newWarehouse Hiring Event,Braselton, ,N/A,"
From $25 to $33 per hour.
Opportunity on the spot at Uline’s upcoming Warehouse hiring event!
Come see our best-in-class facilities, learn more about us, apply…
"
Associated Thermoforming Inc,Material Handler - 1st Shift,United States, ,N/A,"
Push force used to close oven door in warehouse 33 lbs.
1st shift working hours: 5:45AM-4:30PM, Monday through Thursday.
Follow and practice safety procedures.
"
"Health, Department of",newPublic Health Inspector - 33 Summer Positions,Albany, ,N/A,"
One year of experience performing environmental health or sanitarian work, or medical or laboratory technology functions.
"
"Publix Super Markets, Inc.",newRetail Grocery Associate: NEW STORE Hiring Event,Beaufort, ,N/A,"
This store will be located at: Store 1716, Beaufort Plaza, 33 Robert Smalls Parkway, Beaufort, SC 29906.
Date(s): April 28th, 2022.
"
Carolina Pain Physicians,Medical Assistant,Ladson, ,N/A,Busy medical office seeking a full-time medical assistant who is highly motivated and learns quickly. No experience required as we are willing to train the…
United Salad Co.,newWarehouse Order Picker - Day Shift,Indiana+3 locations, ,N/A,FT/PT Status: Full Time Shift: Day - (Start time) 8:00am Schedule Information - Guaranteed two days off in a row! Hourly Rate: Guaranteed base of $20.00…
Gus's World Famous Fried Chicken,newServer/Cashier,New Orleans, ,N/A,We are looking for servers and cashiers for a fast-paced environment. High earning potential with all the desirable benefits to make this a career or a…
Palmetto Primary Care Physicians,Phone Operator,Summerville, ,N/A,About Palmetto Primary Care Physicians\*\* Palmetto Primary Care Physicians (PPCP) is the largest independent multi-specialty group practice in South Carolina…
Palmetto Primary Care Physicians,Medical Front Desk,Charleston, ,N/A,About Palmetto Primary Care Physicians Palmetto Primary Care Physicians (PPCP) is the largest independent multi-specialty group practice in South Carolina.…
La Petite Academy,3's Teacher,Charleston, ,N/A,This person would be responsible for the safety and care routines associated with caring for children that are 34 months to 48 months. Tis person is also…
BETTER TRUCKS INC,Make Deliveries in your own vehicle w/SHIFT - $25/Hr - W9 -...,Bethpage, ,N/A,Job description This is one of THE MOST IMPORTANT positions in our company...and we treat you that way! *BETTER TRUCKS is a last mile delivery company…
Palmetto Primary Care Physicians,Data Entry - Lab Supply and Stock Clerk,Charleston, ,N/A,*About Palmetto Primary Care Physicians* Palmetto Primary Care Physicians (PPCP) is the largest independent multi-specialty group practice in South Carolina.…
Deloitte & Touche LLP,Field Intelligence Representative,Chicago, ,N/A,We do not accept agency resumes and are not responsible for any fees related to unsolicited resumes. Candidates interested in applying for this opportunity…
Conversyn Transportation Solutions,Truck Driver Class A CDL. Home weekly. $6K SOB,Charleston, ,N/A,"Now hiring Class A experienced truck drivers to fill a dedicated, Regional Full-Time position with great benefits. Home weekly for reset. REQUIREMENTS: •…"
Glenview School District 34,newResidency Help,Remote in Glenview, ,N/A,* JobID: 1810 *Position Type: * Support Staff/Central Office - Summer Help *Date Posted: * 4/5/2022 *Location: * District *Date Available: * ASAP …
AmSurg,Customer Services Representative (Remote),Remote, ,N/A,"AMSURG, the Envision Healthcare solution for ambulatory surgery centers (ASCs), collaborates with physicians and health systems across the country to provide…"
ShiftKey,newCMT (Certified Medical Technician - Make your own schedule a...,High Ridge, ,N/A,"...so you can focus on doing what you do best-caring for people. ShiftKey enables you to bid on per diem CNA, LPN/LVN, RN and other shifts posted by our vast…"
Billy Graham Evangelistic Association,Festival Director,Remote, ,Estimated $52.4K – $66.4K a year,"The Festival Director position seeks to direct the preparation and follow up of Franklin Graham Festivals in festival cities assigned by, and provide the…"
International Organization for Migration,newSocial Outreach Assistant,Remote, ,N/A,"*Open to Internal and External Candidates * *Position Title - Social Outreach Assistant * *Duty Station - Washington DC, United States * *Classification -…"
BOEING,newAssociate Production Coordinator (2nd Shift),North Charleston, ,N/A,"
Able to lift up to 35 lbs; Frequent lifting up to 10 lbs; Occasional carrying, lifting, pushing/pulling, walking, standing, balancing; Frequent reaching…
"
TELUS International,newCall Center Customer Service Representative,North Charleston, ,N/A,"
Minimum typing speed of 35 WPM with excellent spelling and grammar.
CSR’s are expected to respond to inbound calls relating to customer service.
"
"SEJ Services, LLC",Weekend Porter,Huger, ,N/A,"
Lift 35 lbs, carry full trash bags, operate and lift janitorial equipment, lift and stock janitorial supplies.
Pass a criminal background check.
"
BOEING,Associate Composite Repair Technician (Multiple Shifts),North Charleston, ,N/A,"
Able to lift up to 35 lbs; Frequent lifting up to 10 lbs; Occasional carrying, lifting, pushing/pulling, walking, standing, balancing; Frequent reaching…
"
TELUS International,newCustomer Service Representative (CSR) Virtual Hiring Event,North Charleston, ,N/A,"
Minimum typing speed of 35 WPM with excellent spelling and grammar.
CSR’s are expected to respond to inbound calls relating to customer service.
"
Honeywell,Assembler - Level 1 - Night Shift A,North Charleston, ,N/A,"
Ability to lift up to 35 pounds.
You will assemble and inspect product to ensure the highest quality product is provided to our customers.
"
"Smart Energy Today, Inc. (SET)",newLumio HX is expanding throughout WA/OR/ID/CA,Idaho, ,N/A,"
We can help the most experienced reps find a platform that lets them plug in and use their closing skills right away as well as positions designed for people…
"
"The City of Charleston, SC",newOffice Manager,Charleston, ,N/A,"
Ability to type a minimum of 35 words per minute by touch.
Analyzes and organizes office operations and procedures such as bookkeeping, preparation of payrolls,…
"
Springhill Suites by Marriott Charleston Airport &...,Executive Housekeeper,North Charleston, ,N/A,"
Must have the ability to lift heavy loads weighing up to 35 pounds.
The ideal candidate for this job has exceptional attention to detail and proven industry…
"
Sodexo,newHR Assistant,Summerville, ,N/A,"
Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds.
Maturity of judgment and behavior.
"
Amex,newVirtual Platinum Customer Care Professional,Remote in United States+1 location, ,N/A,"
Recognizing and rewarding those who drive and deliver results.
Consult with card members to understand their needs and tailor unique solutions for each customer…
"
Amex,Virtual Collections Specialist - Starting in May 2022!,Hybrid remote in United States+1 location, ,N/A,"
Deliver world-class customer service, whilst responding to Customers inquiries and problems.
Build meaningful relationships with our Customers by offering…
"
Medical University of South Carolina,newFacility Assistant - Student Health & Wellness,Charleston, ,N/A,"
35% - Performs fitness equipment maintenance and repairs as needed.
(Continuous) Ability to lift and carry 35 lbs., unassisted.
"
TELUS International,newInbound Call Center Representative,Ladson, ,N/A,"
Minimum typing speed of 35 WPM with excellent spelling and grammar.
CSR’s are expected to respond to inbound calls relating to customer service.
"
Atomic,Full-Time Health Coach (Media Focus),+1 locationRemote, ,Estimated $56.9K - $72.1K a year,"
Availability to work a minimum of 35 hours weekly, preferably 40.
According to a recent CDC study, nearly 50% of Americans want to lose weight, and on average,…
"
"Marriott International, Inc",newCustomer Service (Work From Home) - Entry Level $15,Remote in Miami, ,N/A,"
Training Class Schedule: 1:30PM–10:00PM ET.
Anticipated Shift After Completion of Training: 3:30PM–12:00AM ET (WFH) OR (At Center) - Varying days off based on…
"
Medical University of South Carolina,COURIER OPERATIONS ASSOCIATE,Charleston, ,N/A,"
(Frequent) Ability to move objects from 36"" height to floor weighing 40 lbs, unassisted.
(Frequent) Ability to move objects from floor level to 36"" height…
"
"MIA South Carolina, LLC DBA Pet Supplies Plus",newAnimal Care Technician,Goose Creek, ,N/A,"
With over 560 locations in 36 states, the stores have a streamlined design making it easy to navigate a wide assortment of natural foods, hard goods and pet…
"
Medical University of South Carolina,Sterile Processing Technician,Charleston, ,N/A,"
(Infrequent) Ability to lift/lower objects 50 lbs. from/to floor from/to 36 inches unassisted.
(Infrequent) Ability to lift and carry 25 lbs. unassisted …
"
Assurant,newRemote Customer Care Specialist,Remote in Georgia+8 locations, ,N/A,"
The work hours for this position can run anywhere from 8:00am – 10:00pm EST Monday through Friday and 8:00am – 8:00pm EST on Saturday.
"
Medical University of South Carolina,newTherapeutic Assistant - CDAP Inpatient Program,Charleston, ,N/A,"
(Infrequent) Ability to lift from 36"" to overhead 25 lbs.
(Infrequent) Ability to lift/lower objects 50 lbs. from/to floor from/to 36 inches unassisted.
"
Baker Motor Company,Automotive Detail Specialist,Charleston, ,N/A,"
* Clean - Driving Record / Background Check / Drug Screening - Required.
Our dealer group now consists of thirteen automotive manufacturers, an in-house…
"
Medical University of South Carolina,newLaboratory Associate I,Charleston, ,N/A,"
(Infrequent) Ability to lift from 36"" to overhead 25 lbs.
(Infrequent) Ability to lift/lower objects 50 lbs. from/to floor from/to 36 inches unassisted.
"
Medical University of South Carolina,Hybrid Remote,Hybrid remote in Charleston, ,N/A,"
(Infrequent) Ability to lift from 36 inches to overhead 15 lbs.
(Infrequent) Ability to lift/lower objects 15 lbs. from/to floor from/to 36 inches unassisted.
"
Medical University of South Carolina,Collector / Customer Service Rep,Charleston, ,N/A,"
(Infrequent) Ability to lift from 36 inches to overhead 15 lbs.
(Infrequent) Ability to lift/lower objects 15 lbs. from/to floor from/to 36 inches unassisted.
"
Medical University of South Carolina,4/14 (G),Charleston, ,N/A,"
(Infrequent) Ability to lift from 36"" to overhead 25 lbs.
(Infrequent) Ability to lift/lower objects 50 lbs. from/to floor from/to 36 inches unassisted.
"
Medical University of South Carolina,newPsychometrist - Pediatrics: Developmental Pediatrics,Charleston, ,N/A,"
(Infrequent) Ability to lift objects, up to 15 lbs., from floor level to height of 36 inches, unassisted.
(Infrequent) Ability to lower objects, up to 15 lbs.,…
"
Medical University of South Carolina,Covid 19 Patient Registrar,Charleston, ,N/A,"
(Infrequent) Ability to lift from 36 inches to overhead 15 lbs.
(Infrequent) Ability to lift/lower objects 15 lbs. from/to floor from/to 36 inches unassisted.
"
"SSSCR, Inc. DBA Pet Supplies Plus",Stock Associate,Goose Creek, ,N/A,"
With over 600 locations in 36 states, the stores have a streamlined design making it easy to navigate a wide assortment of natural foods, hard goods and pet…
"
Leslie's Poolmart,Seasonal Lead Sales Associate,Charleston, ,N/A,"
With our extensive onsite paid training, we teach you everything you need to know to help our customers maintain and enjoy their pools and spas.
"
Centratel,Remote Telephone Service Representative $20/hr Must reside i...,Remote in Kentucky, ,N/A,"
We’ve been in business for 37 years under a single owner and our headquarters are in Bend, Oregon.
Telephone Service Representative (TSR) Work-from-home…
"
Massey Services,Pest Technician,Charleston, ,N/A,"
Celebrating 37 consecutive years of profitable growth, Massey Services and its subsidiary organizations employ over 2,400 team members and operate approximately…
"
"Smart Energy Today, Inc. (SET)",newLumio HX is expanding throughout WA/OR/ID/CA,Oregon, ,N/A,"
Easiest sales platform to access and track all 37 states in the industry.
Lumio is one of the fastest growing technology companies in the country.
"
New Wire Marine,Production Assistant: VP of Miscellaneous Stuff,North Charleston, ,N/A,"
Last year we went from 22 people to 37 people and more to come.
Production Assistant: VP of Miscellaneous Stuff.
Want to see what it is like to work here?
"
"Atlantic Housing Foundation, Inc.",Community Manager - Waters at Oakbrook Apartments*SIGNING BO...,Summerville, ,Estimated $41.2K – $52.2K a year,"
Founded in 1999, we currently own and operate over 10,000 units of multifamily properties in 6 states and 37 cities.
You are the best at what you do.
"
Lori's Gifts Shop,Retail Sales Associate,Charleston, ,N/A,"
Lori’s Gifts is a unique retailer servicing over 370 hospitals nationwide for the last 37 years.
Are you a positive, empathetic, energetic, and considerate…
"
Coastal Family Orthodontics,Front Office Coordinator (Orthodontics),North Charleston, ,Estimated $27K – $34.2K a year,"
Coastal Kids Family Orthodontics* has an exciting opportunity for a Front Desk Coordinator role!
The Front Desk Coordinator’s primary responsibility is to…
"
Lori's Gifts Shop,Assistant Manager,Charleston, ,Estimated $24.4K – $30.8K a year,"
Lori’s Gifts is a unique retailer servicing over 370 hospitals nationwide for the last 37 years.
Are you a positive, empathetic, and considerate person?
"
New Jersey Department of Labor and Workforce...,newClerk,United States, ,N/A,"
Posting #: 2022-125 Issue Date: 4/12/2022 Closing Date: 4/26/2022.
Range/Title Code: A04/20042 Salary: $27,287.96 - $37,586.75.
TO APPLY for this Position.
"
Bath Fitter,newInstaller Assistant - training starting at $650+ weekly!!!,North Charleston, ,N/A,"
*Established Company: *37 years in business and still growing with locations in 2 continents.
As an Installer Assistant at Bath Fitter, You will train with…
"
Palmetto Summerville Behavioral Health,Mental Health Tech - PRN,Summerville, ,N/A,"
Headquartered in King of Prussia, PA, UHS has more than 87,000 employees and through its subsidiaries operates 26 acute care hospitals, 327 behavioral health…
"
East Sussex County Council,newData Advocate,Remote, ,Estimated $45K – $57K a year,"
Hours of work: 37 per week.
Fixed term for: 12 months due to funding.
Closing date: 04/05/2022.
For an informal discussion, please contact Alistair Herbert -…
"
Hudson Automotive Group,Payroll Specialist,Charleston, ,Estimated $42.2K – $53.4K a year,"
Hudson Automotive Group has 37 dealerships in multiple states, and we are continuing to grow!
Hudson Automotive Group is GROWING and we are seeking a Payroll…
"
Lori's Gifts Shop,Gift Shop Assistant Manager,Charleston, ,Estimated $25.1K – $31.7K a year,"
Lori’s Gifts is a unique retailer servicing over 370 hospitals nationwide for the last 37 years.
ASSISTANT STORE MANAGER - MUSC Hospital (Gift Shop)*.
"
Montreux Bar & Grill,newDish Custodial,Summerville, ,Estimated $21.1K – $26.7K a year,"
Montreux Bar & Grill in Summerville, SC is looking for one dish/ custodial to join our 37 person strong team.
We are located on 127 W Richardson Ave..
"
Palmetto Lowcountry Behavioral Health,Housekeeper (Full Time) **Sign on Bonus**,Charleston, ,N/A,"
We are pleased to announce the following available position: Housekeeper (Full Time) **Sign On Bonus Available**.
SoFi Student Loan Refinancing Program.
"
RIVERS STUCCO & EIFS,Laborer,Massachusetts, ,N/A,"
Personal tools not needed at first but would be a plus if you show up with a tape on your belt and knowing how to use it is definitely a plus.
"
Dry Clean Express,Front Store Associate,North Charleston, ,N/A,"
Shift 2: Mon-Fri: 1PM - 7:15PM, Sat: 8AM - 2PM (~38 hrs/wk).
\*\* *Earn a *$300 *Sign On Bonus *\*\* *.
Objective*: Give our customers EXCELLENT service and…
"
FIG Restaurant,Culinary Team Member,Charleston, ,N/A,"
Hourly wage increases as you progress through the kitchen.
Professional, polished, dependable, and focused.
Robust training program for butchery and preparation…
"
Paint the Town LLC,Art Instructor for Paint Parties in Charleston,Charleston, ,N/A,"
Paint the Town offers mobile art parties and team building events, delivered to guests at their office, home, and restaurants.
Tolls and parking are reimbursed.
"
KellyConnect,newTechnical Support Representative,Florida+5 locations, ,N/A,"
Must be able to work a full-time schedule, 38 hours a week at minimum, including nights, weekends, holidays, variable schedule(s) and overtime as necessary.
"
NORTHWOOD MALL,newVintage Handbag Specialists at Northwoods Mall,North Charleston, ,N/A,"
Full time hours are between 38 to 40.
We are looking for fashion forward selling associates who can give excellent customer service in selling and deliver an…
"
The Ordinary | Fancy Seafood & Oyster Hall,Server Assistant,Charleston, ,N/A,"
Professional, polished, dependable, and focused.
Respectful and kind towards co-workers.
Full time availability preferred but not required.
"
Nexans,Factory Jointer,Goose Creek, ,N/A,"
Be responsible for overseeing the cable pulling operation (in duct banks, direct buried, or on trays or other).
Perform work at zero-fault quality.
"
Assurant,newRemote Customer Care Specialist,Remote in Georgia+8 locations, ,N/A,"
The work hours for this position can run anywhere from 8:00am – 10:00pm EST Monday through Friday and 8:00am – 8:00pm EST on Saturday.
"
THE ORDINARY,Culinary Team Member,Charleston, ,Estimated $23.4K - $29.6K a year,"
Hourly wage increases as you progress through the kitchen.
Professional, polished, dependable, and focused.
Robust training program for butchery and preparation…
"
Advintage Distributing,"Beverage Delivery Driver - Ladson, SC",Ladson, ,N/A,"
Daily deliveries may include up to 70 kegs and up to 1000 cases of wine/beer, and may include 38 customer stops.
Collects all payments on applicable invoices.
"
FIG Restaurant,newServer Assistant,Charleston, ,N/A,"
Experience as a Server Assistant is preferred, but not required.
Professional, polished, dependable, and focused.
Respectful and kind towards co-workers.
"
FIG,Culinary Team Member,Charleston, ,Estimated $23.4K - $29.6K a year,"
Hourly wage increases as you progress through the kitchen.
Professional, polished, dependable, and focused.
Robust training program for butchery and preparation…
"
Technical Source,newHCIT Support Specialist,Remote, ,N/A,"
$32 to $38 an hourly based on experience.
The qualified candidate will have experience providing Tier I or II Technical Support within a within the healthcare,…
"
First Student,newMonitor Virtual Hiring Event,Mount Pleasant, ,N/A,"
At First Student, our Monitors/Aides are a constant reflection of our company’s commitment to safety and customer service.
$10/HR Starting Wage.
"
Palmetto Lowcountry Behavioral Health,Pharmacy Technician - Full Time,Charleston, ,N/A,"
The Pharmacy Tech ensures availability and delivery of medications to authorized location/personnel.
Prepares and repackages medications accurately.
"
39 Rue De Jean,Dishwasher,Charleston, ,N/A,"
We are looking for people who are passionate and enthusiastic about food and beverage, have friendly personality and a eagerness to provide guests with a great…
"
Lowe's,FT-Loader/Cart Associate-Day,Charleston, ,N/A,"
Hourly Full Time or Part Time: Generally scheduled 39 to 40 or up to 25 hours per week, respectively; more hours may be required based on the needs of the store…
"
Palmetto Lowcountry Behavioral Health,newOutpatient Social Worker (full time),Charleston, ,N/A,"
To deliver quality general and psychiatric care to patients with emotional or psychiatric disorders; serve actively and constructively as a member of the multi…
"
Imagine Learning,"Sales Consultant, Core",Remote in United States+1 location, ,N/A,"
You can also expect to travel up to 60-70%, so be sure you have a valid driver’s license and automobile insurance and a clean driving record for at least the…
"
Brandwatch,Academy Manager,Remote, ,Estimated $72.4K - $91.6K a year,"
Provide leadership and management to a team consisting of a course development manager, multimedia specialist and trainer to meet our Academy goals and grow our…
"
Stat Courier,Courier Driver,Charleston, ,N/A,"
STAT provides exceptional results and builds strong partnerships with state agencies, private businesses, local vendors, and drivers.
"
Brandwatch,"Customer Support Specialist (West Coast, USA)",Remote, ,Estimated $39.6K - $50.2K a year,"
As a main point of contact for our customers, team members in this role will provide high level technical assistance for our products, but also gather and…
"
Vincent Chicco's,Host,Charleston, ,N/A,"
We are looking for people who are passionate and enthusiastic about food and beverage, have friendly personality and eagerness to provide guests with a great…
"
Burlington Stores,newRetail Sales Associate,North Charleston, ,N/A,"
You’ll be responsible for greeting and assisting customers, maintaining a neat, organized and clean sales floor, and supporting the management team with day-to…
"
Burlington Stores,newCashier Associate,North Charleston, ,N/A,"
By always maintaining a positive and professional attitude, and working to deliver excellent customer service that addresses all the customer’s needs while…
"
Brandwatch,Customer Onboarding Specialist,Remote, ,N/A,"
We provide customers with a tailored and scalable data and visualisation ecosystem, as well as education programs that empower customers with the knowledge and…
"
Lear Corporation,Production Associate,Pine Grove, ,N/A,"
We are currently hiring Full-Time entry level and experienced Machine Operators for all shifts which includes the standard 8 hour schedules along with 10 hour,…
"
39 Rue de Jean,Bartender/Server,Charleston, ,N/A,"
Ability to work flexible hours including nights, weekends and holidays.
Medical insurance is available to all full-time employees after 60 days (employee…
"
MAHLE Behr Charleston Inc,Production Associate,Charleston, ,N/A,"
Must be able to lift and move parts between work stations (up to 40 pounds).
The employee must regularly lift and/or move up to 40 pounds and occasionally lift…
"
TELUS International,newCustomer Service Representative (CSR) Virtual Hiring Event,North Charleston, ,N/A,"
Flexibility to work a 40 hr work week during any day/any shift as needed within the program’s hours of operation: 24 hours a day | 7 days a week.
"
Legility,eDiscovery Attorneys (remote),Remote in United States+7 locations, ,N/A,"
The ability to work 40 hours per week, M-F, when engaged on a project.
While we often require our attorneys to work full-time, 40-hour weeks when engaged on a…
"
